location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,aged_65_older,gdp_per_capita,cardiovasc_death_rate,population
Israel,Dec-20,11475028,86071,94789,453,1214417.183,9109.007,10031.642,47.941,363.723,1027101.92,2892.92,292919000
Israel,Dec-21,42041651,40272,254955,47,4449322.783,4262.04,26982.22,4.974,363.723,1027101.92,2892.92,292919000
Israel,Dec-22,47302384,14129,118860,43,5006073.023,1495.29,12579.11,4.551,117.33,331323.2,933.2,94490000
Israel,Feb-20,22,6,2043247.52,4254.82933,2.329,0.635,20981.03037,46.89895295,117.33,331323.2,933.2,94490000
Israel,Feb-21,20255490,132372,150058,956,2143664.937,14009.101,15880.836,101.176,328.524,927704.96,2612.96,264572000
Israel,Feb-22,95301923,733934,269215,1393,10085926.87,77673.191,28491.375,147.423,328.524,927704.96,2612.96,264572000
Israel,Mar-20,35287,5739,102,21,3734.469,607.364,10.794,2.222,363.723,1027101.92,2892.92,292919000
Israel,Mar-21,25324771,57298,186615,461,2680153.562,6063.921,19749.708,48.788,363.723,1027101.92,2892.92,292919000
Israel,Mar-22,116439616,283722,321953,287,12322956.5,30026.668,34072.704,30.376,363.723,1027101.92,2892.92,292919000
Israel,Apr-20,367312,10179,4080,204,38873.107,1077.257,431.796,21.588,351.99,993969.6,2799.6,283470000
Israel,Apr-21,25095274,5429,189283,154,2655865.593,574.559,20032.068,16.296,351.99,993969.6,2799.6,283470000
Israel,Apr-22,120564053,157879,318469,210,12759451.05,16708.54,33703.994,22.223,351.99,993969.6,2799.6,283470000
Israel,May-20,512036,1183,8248,62,54189.437,125.194,872.9,6.559,363.723,1027101.92,2892.92,292919000
Israel,May-21,26012078,994,198025,49,2752892.16,105.197,20957.243,5.187,363.723,1027101.92,2892.92,292919000
Israel,May-22,127400637,62411,334342,159,13482975.66,6605.039,35383.854,16.828,363.723,1027101.92,2892.92,292919000
Israel,Jun-20,602486,8359,9197,40,63761.88,884.646,973.33,4.234,351.99,993969.6,2799.6,283470000
Israel,Jun-21,25200471,2302,192743,20,2666998.728,243.622,20398.242,2.118,351.99,993969.6,2799.6,283470000
Israel,Jun-22,126663318,214518,326826,106,13404944.23,22702.72,34588.418,11.218,351.99,993969.6,2799.6,283470000
Israel,Jul-20,1460503,46296,13094,237,154566.939,4899.568,1385.754,25.08,363.723,1027101.92,2892.92,292919000
Israel,Jul-21,26435658,32241,199822,45,2797720.184,3412.105,21147.422,4.763,363.723,1027101.92,2892.92,292919000
Israel,Jul-22,139234914,229023,345905,420,14735412.64,24237.801,36607.574,44.45,363.723,1027101.92,2892.92,292919000
Israel,Aug-20,2916651,45172,23535,389,308672.982,4780.611,2490.737,41.166,363.723,1027101.92,2892.92,292919000
Israel,Aug-21,29676325,192334,208069,570,3140684.201,20354.959,22020.216,60.323,363.723,1027101.92,2892.92,292919000
